Period,Type1_ATT
2010-01-08,1138652
2010-01-09,1150728
2010-01-10,1163143
2010-01-11,1111295
2010-01-12,1159204
2011-01-01,1133881
2011-01-02,1053707
2011-01-03,1225222
2011-01-04,1197213
2011-01-05,1221687
2011-01-06,1168468
2011-01-07,1211066
2011-01-08,1135801
2011-01-09,1162143
2011-01-10,1200708
2011-01-11,1134959
2011-01-12,1141606
2012-01-01,1137916
2012-01-02,1120423
2012-01-03,1263082
2012-01-04,1149634
2012-01-05,1251414
2012-01-06,1222084
2012-01-07,1248953
2012-01-08,1197384
2012-01-09,1178361
2012-01-10,1214433
2012-01-11,1167908
2012-01-12,1202080
2013-01-01,1149837
2013-01-02,1085333
2013-01-03,1226196
2013-01-04,1199089
2013-01-05,1229747
2013-01-06,1191352
2013-01-07,1281700
2013-01-08,1189671
2013-01-09,1156569
2013-01-10,1199259
2013-01-11,1139112
2013-01-12,1172011
2014-01-01,1142284
2014-01-02,1084744
2014-01-03,1269436
2014-01-04,1213066
2014-01-05,1287333
2014-01-06,1265211
2014-01-07,1302588
2014-01-08,1188147
2014-01-09,1221782
2014-01-10,1250114
2014-01-11,1205519
2014-01-12,1241895
2015-01-01,1124040
2015-01-02,1072452
2015-01-03,1251325
2015-01-04,1206631
2015-01-05,1254445
2015-01-06,1249213
2015-01-07,1271523
2015-01-08,1215826
2015-01-09,1221594
2015-01-10,1261395
2015-01-11,1236294
2015-01-12,1232965
2016-01-01,1250005
2016-01-02,1218372
2016-01-03,1350373
2016-01-04,1214057
2016-01-05,1353206
2016-01-06,1282499
2016-01-07,1353477
2016-01-08,1254439
2016-01-09,1277578
2016-01-10,1317571
2016-01-11,1258205
2016-01-12,1277133
2017-01-01,1237177
2017-01-02,1127909
2017-01-03,1309507
2017-01-04,1253743
2017-01-05,1347297
2017-01-06,1296877
2017-01-07,1348648
2017-01-08,1256655
2017-01-09,1263957
2017-01-10,1325211
2017-01-11,1281913
2017-01-12,1289587
2018-01-01,1257026
2018-01-02,1151757
2018-01-03,1299796
2018-01-04,1246348
2018-01-05,1354711
2018-01-06,1306739
2018-01-07,1365859
2018-01-08,1252767
2018-01-09,1269088
2018-01-10,1320032
2018-01-11,1305353
2018-01-12,1307359
2019-01-01,1344354
2019-01-02,1234328
2019-01-03,1373061
2019-01-04,1330825
2019-01-05,1369332
2019-01-06,1334137
2019-01-07,1415918
2019-01-08,1324070
2019-01-09,1342510
2019-01-10,1376347
2019-01-11,1366383
2019-01-12,1373654
2020-01-01,1327234
2020-01-02,1237255
2020-01-03,1013021
2020-01-04,689720
2020-01-05,924218
2020-01-06,1016132
2020-01-07,1120421
2020-01-08,1179019
2020-01-09,1163948
2020-01-10,1111958
2020-01-11,1036350
2020-01-12,1039474
2021-01-01,941194
2021-01-02,903771
2021-01-03,1161079
2021-01-04,1259266
2021-01-05,1396116
