Year,Total_population
1 de enero de 2024,48619695.0
1 de enero de 2023,48085361.0
1 de enero de 2022,47486727.0
1 de enero de 2021,47400798.0
1 de enero de 2020,47318050.0
1 de enero de 2019,46918951.0
1 de enero de 2018,46645070.0
1 de enero de 2017,46497393.0
1 de enero de 2016,46418884.0
1 de enero de 2015,46425722.0
1 de enero de 2014,46495744.0
1 de enero de 2013,46712650.0
1 de enero de 2012,46818216.0
1 de enero de 2011,46667175.0
1 de enero de 2010,46486621.0
1 de enero de 2009,46239271.0
1 de enero de 2008,45668938.0
1 de enero de 2007,44784659.0
1 de enero de 2006,44009969.0
1 de enero de 2005,43296335.0
1 de enero de 2004,42547454.0
1 de enero de 2003,41827836.0
1 de enero de 2002,41035271.0
1 de enero de 2001,40665545.0
1 de enero de 2000,40470182.0
1 de enero de 1999,40303568.0
1 de enero de 1998,40143449.0
1 de enero de 1997,39971329.0
1 de enero de 1996,39808374.0
1 de enero de 1995,39639726.0
1 de enero de 1994,39458489.0
1 de enero de 1993,39264034.0
1 de enero de 1992,39051336.0
1 de enero de 1991,38881416.0
1 de enero de 1990,38853227.0
1 de enero de 1989,38802300.0
1 de enero de 1988,38731578.0
1 de enero de 1987,38638052.0
1 de enero de 1986,38531195.0
1 de enero de 1985,38407829.0
1 de enero de 1984,38252899.0
1 de enero de 1983,38090151.0
1 de enero de 1982,37881873.0
1 de enero de 1981,37635389.0
1 de enero de 1980,37346940.0
1 de enero de 1979,37035719.0
1 de enero de 1978,36694077.0
1 de enero de 1977,36329199.0
1 de enero de 1976,35946425.0
1 de enero de 1975,35569375.0
1 de enero de 1974,35177294.0
1 de enero de 1973,34800600.0
1 de enero de 1972,34408338.0
